State,County,Pop 2000,Total,,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Unknown,Nonroad,Transport
AL,Sumter County,14798,4.6747273279,,0.0556803421,0.1719725879,0.2486179078,0,3.9889749573,0,0.0036564484,0.0091911896,0.1966338948,4.1984564901
AL,Talladega County,80321,2.9273384755,,0.0683436676,0.5917720543,0.2271755435,0,1.4540512115,0,0.127959142,0.3216489227,0.136387934,2.0400472102
AL,Tallapoosa County,41475,3.5215799765,,0.3046558194,0.7946130524,0.2287078576,0,1.6672823021,0,0.0966444402,0.2429337245,0.1867427802,2.1936032471
AL,Tuscaloosa County,164875,4.0443412525,,0.1334199181,1.2417209055,0.2303586422,0.0012938841,2.0775270675,0,0.0559916662,0.1407454066,0.1632837622,2.4375479025
AL,Walker County,70713,31.3098810425,,0.0807636747,0.0557180499,0.2376872064,28.9871710884,1.6530013424,0,0.0512399026,0.1288009586,0.1154988194,1.948541023
AL,Washington County,18097,72.2983181806,,0.0262316006,1.6036435256,0.2302591066,68.299571846,1.9557404243,0,0,0,0.1828716774,2.1386121017
AL,Wilcox County,13183,643.7003936153,,0.0396197255,641.11958708,0.2398508949,0,1.8632237184,0,0.0264504888,0.0664881166,0.3451735908,2.3013359147
AL,Winston County,24843,2.7327596401,,0.0599622999,0.558430662,0.231938149,0,1.4995155149,0,0.0440094849,0.1106258895,0.2282776399,1.8824285291
AK,Aleutians East Borough,2697,74.0221157598,,0.4027766192,54.7408592451,0.3095117453,4.1186076637,1.6884477204,0,2.069883966,10.2194474909,0.4725813094,14.4503604867
AK,Aleutians West Census Area,5465,54.8014988537,,0.8379816449,47.2944951044,0.3487683299,3.0397827632,1.1729256916,0,0.2928103232,1.4456655996,0.369069397,3.2804710113
AK,Anchorage Municipality,260283,7.4125863189,,1.3813909011,2.1969030818,0.7318614689,0.0055259187,1.0068009574,0,0.318442511,1.5722168795,0.1994446006,3.0969049485
AK,Bethel Census Area,16006,21.510382295,,0.8670276154,0.5745525983,0.4131782456,0.4731681273,1.5531915983,0,2.9296904258,14.4644907214,0.2350829627,19.1824557082
AK,Bristol Bay Borough,1258,90.8033216048,,0.9471170889,7.6087102803,0.6300883352,0,1.6567304684,0,13.3873684939,66.0962217392,0.4770851987,81.6174059002
AK,Denali Borough,1893,19.0323352197,,0.328913355,0,1.534060523,12.6726646305,1.7941181115,0,0.4073608852,2.0112254043,0.2839923102,4.4966967112
AK,Dillingham Census Area,4922,46.5062811937,,0.937868427,14.4419457534,0.521038989,0,1.8487581593,0,4.7955705234,23.6767287206,0.284370621,30.6054280243
AK,Fairbanks North Star Borough,82840,13.5256974139,,0.9914934997,4.500834107,0.8095100074,4.3014320399,0.6060823973,0,0.3634313065,1.7943359234,0.1585781327,2.9224277599
AK,Haines Borough,2392,15.4243904664,,0.5900330501,0.0894205782,0.5223654412,0,1.7524298928,0,2.0660000618,10.2002717827,0.2038696596,14.2225713969
AK,Juneau City and Borough,30711,10.7917520118,,1.1251151038,0.4598112633,0.4939980353,0.0165771096,0.8163579833,0,1.3044730525,6.4404546584,0.1349648055,8.6962504997
AK,Kenai Peninsula Borough,49691,17.4682594339,,0.7420048114,11.0897476366,0.6988798345,0.7015543493,1.6506013175,0,0.4064877122,2.0069143283,0.1720694443,4.2360728022
AK,Ketchikan Gateway Borough,14070,9.7559915617,,1.1691534402,5.7883325618,0.5542808253,0,0.865263487,0,0.2067177997,1.0206087633,0.1516346845,2.2442247344
AK,Kodiak Island Borough,13913,16.3054371862,,0.6872543978,5.6690448508,0.4955783372,0,0.8664379531,0,1.4118645126,6.9706686408,0.204588494,9.4535596006
AK,Lake and Peninsula Borough,1823,47.3226581491,,0.2047473289,0.288262327,0.5033836269,0,1.6057188582,0,7.2613766921,35.850926033,1.6082432831,46.3262648664
AK,Matanuska-Susitna Borough,59322,4.8571457654,,0.5762428637,0.154141288,0.6694040697,0,1.5121960586,0,0.30633881,1.5124583918,0.1263642835,3.457357544
AK,Nome Census Area,9196,22.485137205,,0.7867454493,0.0571446523,0.476175222,0.1643998684,1.4227285469,0,3.2537921394,16.0646481764,0.2595031503,21.000672013
AK,North Slope Borough,7385,378.0781541466,,2.1895490913,323.7639034562,0.5737666308,35.1463007677,1.081013235,0,2.5192592105,12.4381064376,0.3662553189,16.404634202
AK,Northwest Arctic Borough,7208,29.9309476282,,0.7167849065,8.42985233177046E-005,0.4134201258,2.0512276797,1.3113041739,0,4.2429788438,20.9484686639,0.2466789361,26.7494306177
AK,Prince of Wales-Outer Ketchikan Census Are,6146,11.5742435017,,0.404288827,0.9744602418,0.4754236191,0,1.6941009116,0,1.1791388982,5.8216539573,1.0251770468,9.7200708138
AK,Sitka City and Borough,8835,7.807678307,,1.1284162245,1.2649646526,0.4885194879,0,0.8056868268,0,0.6640894685,3.2787477923,0.1772538545,4.925777942
AK,Skagway-Hoonah-Angoon Census Area,850,74.2724421879,,1.8707702682,3.7094274505,2.3123230635,0,7.0042605131,0,9.7557901726,48.1663647509,1.4535059692,66.3799214058
AK,Southeast Fairbanks Census Area,6174,13.6315985155,,0.3339124433,0.4593102079,0.3908934812,0,1.6458071318,0,1.787841616,8.8269457713,0.1868878641,12.4474823831
AK,Valdez-Cordova Census Area,10195,23.5788778939,,0.7523907513,13.0168198735,0.5987763225,3.4668470038,1.7921242764,0,0.6139124463,3.0310133946,0.3069938255,5.7440439428
AK,Wade Hampton Census Area,7028,25.3057786711,,0.3997681152,0.0747726554,0.357477963,0,1.8629184549,0,3.7741140258,18.6335855689,0.203141888,24.4737599375
AK,Wrangell-Petersburg Census Area,6684,11.9403571462,,0.7044105814,1.2480351436,0.5830200743,0,1.2611207107,0,1.3286319719,6.5597323123,0.255406352,9.4048913469
AK,Yakutat City and Borough,808,67.4001531775,,0.4782390749,42.6110917974,0.5257233515,0,1.6833287355,0,3.5909171914,17.7291043763,0.7817486505,23.7850989536
AK,Yukon-Koyukuk Census Area,6551,67.5797011596,,0.3276354933,0,0.3437328428,0,1.7557228923,0,10.8993756965,53.8124837667,0.4407504681,66.9083328236
AZ,Apache County,69423,46.7658117708,,0.102278754,0.0110162232,0.0888443267,43.3572232572,2.9449082141,0,0.0552422983,0.1388616781,0.0674370191,3.2064492096
AZ,Cochise County,117755,10.2725505797,,0.1115602397,0.0987160522,0.217921814,6.4535487264,2.3943650856,0,0.2430486038,0.6109475743,0.1424424836,3.3908037473
AZ,Coconino County,116320,48.4196272903,,0.3777798968,0.1992650615,0.1862405095,43.5512345451,2.8514257166,0,0.3018670862,0.7587986653,0.1930158094,4.1051072775
AZ,Gila County,51335,2.5825940962,,0.060740691,0.2074442651,0.2144024445,0,1.5009568878,0,0.0920532107,0.2313927166,0.2756038806,2.1000066957
AZ,Graham County,33489,1.9339415328,,0.0679919775,0.048015248,0.1695585847,0,1.3096309446,0,0.0596501148,0.149941551,0.129153112,1.6483757225
AZ,Greenlee County,8547,1.9710687339,,0.0573359927,0.010518548,0.2219191566,0.0030050848,0.9145136819,0,0.1961339558,0.4930191334,0.0746231807,1.6782899518
AZ,La Paz County,19715,6.9904068921,,0.0938734868,0.0831251691,0.2083876996,0,5.9059111526,0,0.098150763,0.2467201764,0.3542384447,6.6050205366
AZ,Maricopa County,3072149,2.4351328993,,0.224513339,0.0868388472,0.0843924968,0.1865505836,1.3110929963,0,0.0995830178,0.2503203089,0.1918413097,1.8528376327
AZ,Mohave County,155032,6.5325057447,,0.1428125482,0.1359994541,0.1594859588,3.0986024614,2.3585943338,0,0.0989364392,0.2486950331,0.2893795162,2.9956053222
AZ,Navajo County,97470,26.1198807096,,0.0627886767,1.536879918,0.1453904678,21.2162243926,2.5901613418,0,0.1314980917,0.3305447728,0.1063930481,3.1585972544
AZ,Pima County,843746,2.6025357358,,0.0878283073,0.1854429245,0.183497432,0.3735929893,1.2197942247,0.147273676,0.0781313954,0.1963976957,0.1305770909,1.6249004067
AZ,Pinal County,179727,5.3438011132,,0.0368761256,0.09065848,0.1194568797,2.3940534223,2.2002248275,0,0.0723446292,0.181851576,0.2483351728,2.7027562055
AZ,Santa Cruz County,38381,3.052089853,,0.0942623967,0.1142823839,0.1656440307,0.0148393405,2.1644726185,0,0.0979636236,0.2462496738,0.1543757853,2.6630617013
AZ,Yavapai County,167517,4.585986028,,0.0939998229,0.1097477297,0.2368276818,0.0087995943,2.1682120041,0.8225347177,0.2793920069,0.7023034167,0.1641690539,3.3140764816
AZ,Yuma County,160026,2.9871002234,,0.0852241954,0.0690366377,0.0990950741,0.3206725109,1.4780660232,0,0.2192605268,0.5511518481,0.1645934072,2.4130718053
AR,Arkansas County,20749,6.0772257046,,0.1605330294,1.7132422542,0.2881917636,0,1.5791018891,0,0.4482788168,1.1268316024,0.761046349,3.9152586574
AR,Ashley County,24209,6.2572583871,,0.0877055403,4.0669031409,0.2636312508,0,1.4316871419,0,0.0192525556,0.0483949756,0.3396837819,1.839018455
AR,Baxter County,38386,2.9715597186,,0.2192812955,0.6603852553,0.3653688226,0,1.1246575936,0,0.1055019275,0.2651985496,0.2311662744,1.7265243451
AR,Benton County,153406,9.7139373155,,0.3158017711,0.7771910601,0.3840612595,6.2792259929,1.2591856482,0,0.1455565325,0.365883195,0.1870318561,1.9576572319
AR,Boone County,33948,3.0623735194,,0.2909607323,0.6625381419,0.3447736807,0,1.4646782029,0,0.043789369,0.1100727212,0.1455606714,1.7641009644
AR,Bradley County,12600,2.5940755668,,0.1327032193,0.4669591938,0.2562857056,0,1.3704497997,0,0.0375312991,0.0943420526,0.2358042967,1.7381274482
AR,Calhoun County,5744,4.8181577352,,0.0657880796,1.1414692523,0.3025720953,0,3.0653219386,0,0,0,0.2430063693,3.3083283078
AR,Carroll County,25357,3.7533493672,,0.1755204414,1.2362578963,0.3543723286,0,1.4303287106,0,0.1044517796,0.2625588391,0.1898593714,1.9871987008
AR,Chicot County,14117,5.189733211,,0.100092552,0.5749965891,0.254665503,0,1.9090222656,0,0.4714994701,1.1852009906,0.6942558406,4.2599785669
AR,Clark County,23546,5.8426652463,,0.1464126394,1.9224544974,0.2531983414,0,2.6880857885,0,0.1769519392,0.4448015744,0.2107604661,3.5205997681
AR,Clay County,17609,4.7048182406,,0.1093487776,1.1849997903,0.4531367034,0,1.3212138937,0,0.2938976304,0.7387661691,0.603455276,2.9573329692
AR,Cleburne County,24046,2.8678698313,,0.1333450256,0.6220121019,0.3360618104,0,1.2209782532,0,0.0900555407,0.2263711541,0.2390459453,1.7764508933
AR,Cleveland County,8571,2.5956158679,,0.0342374115,0.1105238004,0.2392057706,0,2.0420094933,0,0,0,0.1696393921,2.2116488854
AR,Columbia County,25603,3.3967823091,,0.1249045062,1.0823531006,0.2650612854,0.0571824868,1.5272488962,0,0.045858767,0.1152745067,0.1788987602,1.8672809301
AR,Conway County,20336,11.5330458863,,0.1405185721,7.6488817299,0.2436276339,0,3.0463233522,0,0.0584571321,0.1469425942,0.2482948719,3.5000179504
AR,Craighead County,82148,3.2044414698,,0.2545615525,0.8531476989,0.3433081372,0.0042663158,1.3294635232,0,0.0535473132,0.1346010565,0.2315458725,1.7491577654
AR,Crawford County,53247,3.1406667388,,0.1493494699,0.7168739786,0.2766391005,0,1.8764956917,0,0,0,0.1213084981,1.9978041898
AR,Crittenden County,50866,3.7562500313,,0.1606859112,0.3236034884,0.2736065276,0.121204975,2.3906524363,0,0.0541752886,0.1361796216,0.2961417826,2.8771491291
AR,Cross County,19526,3.1350652028,,0.1282564153,0.5585875448,0.2937479072,0,1.3826680414,0,0.0624109809,0.1568815,0.552512813,2.1544733354
AR,Dallas County,9210,3.2341682294,,0.1293023296,0.803971718,0.250142081,0,1.8059314532,0,0.0081596277,0.0205106675,0.2161503523,2.0507521008
AR,Desha County,15341,7.5019710493,,0.1169604006,4.1201122363,0.2640528947,0,1.506009548,0,0.2084093195,0.5238754593,0.762551191,3.0008455177
AR,Drew County,18723,3.5323170031,,0.1995710789,1.0444291018,0.2826225492,0,1.6439807924,0,0.0301109564,0.0756896443,0.25591288,2.0056942732
AR,Faulkner County,86014,2.916710069,,0.2042304802,0.6814663486,0.2332446781,0,1.5525380123,0,0.0208743221,0.0524714945,0.1718847332,1.7977685621
AR,Franklin County,17771,5.4728418033,,0.0895491221,2.036240905,0.2761946153,0.3238004416,2.4348605093,0,0.0309130299,0.077705798,0.203577382,2.7470567192
AR,Fulton County,11642,2.4782759981,,0.0829105528,0.2336563292,0.2995020045,0,1.6904331995,0,0,0,0.1717739121,1.8622071116
AR,Garland County,88068,2.4716342599,,0.2348772147,0.4212131585,0.2878951089,0,1.2360085339,0,0.0444674384,0.1117771228,0.1353956827,1.5276487778
AR,Grant County,16464,3.012719396,,0.0609158312,0.711566251,0.2669877152,0,1.612254069,0,0.0550126666,0.1382844738,0.167698389,1.9732495985
AR,Greene County,37331,3.691878065,,0.1628747452,1.394229547,0.2596350796,0,1.2089101387,0,0.1026176555,0.257948421,0.3056624781,1.8751386932
AR,Hempstead County,23587,5.3261367288,,0.1247964049,1.6177330848,0.2972030138,0.0800827539,2.4999098845,0,0.1403763041,0.352861807,0.2131734757,3.2063214713
AR,Hot Spring County,30353,15.6524687135,,0.0876295931,2.3455086483,0.2688478895,10.1223769887,2.5525580525,0,0.0366118481,0.0920306106,0.1469050828,2.8281055939
AR,Howard County,14300,5.4204920374,,0.1146015321,2.9963929539,0.2809583813,0,1.5173311336,0,0.0613417401,0.1541936104,0.295672686,2.0285391701
AR,Independence County,34233,94.6805541964,,0.2264504649,3.1141086256,0.3421568537,88.5215950134,1.4423220379,0,0.2405714646,0.6047209102,0.188628826,2.4762432387
AR,Izard County,13249,2.6186840151,,0.0985118971,0.2512328822,0.289574499,0,1.0609789961,0,0.2252726425,0.5662643955,0.1268487027,1.9793647368
AR,Jackson County,18418,4.3714142011,,0.1856367005,0.427641676,0.3568230426,0,1.7993038004,0,0.3012562654,0.7572633748,0.5434893414,3.4013127819
AR,Jefferson County,84278,59.4632593434,,0.1526897206,24.5324019841,0.2429591871,32.7039765213,1.4714330677,0,0.0518032198,0.1302169569,0.1777786859,1.8312319303
AR,Johnson County,22781,7.302286487,,0.1661491423,4.3342734538,0.2286459035,0,2.3604045336,0,0.0113102028,0.0284302508,0.1730730002,2.5732179875
AR,Lafayette County,8559,5.4107986114,,0.0648624986,0.5418392219,0.2760842719,1.9429867916,2.1793830127,0,0,0,0.4056428147,2.5850258275
AR,Lawrence County,17774,4.2275713173,,0.1316435281,0.7129074531,0.4261948927,0,2.1100291279,0,0.1068069497,0.2684792915,0.4715100743,2.9568254434
AR,Lee County,12580,3.2912514969,,0.0630636821,0.1319666544,0.2758754678,0,1.336093355,0,0.2058144527,0.5173528446,0.7610850402,2.8203456926
AR,Lincoln County,14492,2.4038459248,,0.0439733509,0.4589393526,0.1890758261,0,1.2812401903,0,0,0,0.4306172049,1.7118573952
AR,Little River County,13628,58.7395239337,,0.0610868688,46.7227857305,0.2105303817,0,1.9181273364,9.4229008489,0,0,0.4040927674,2.3222201037
AR,Logan County,22486,3.5358358658,,0.0847692863,1.7596100734,0.2557622889,0.0259562767,1.2001905089,0,0,0,0.2095474316,1.4097379404
AR,Lonoke County,52828,3.2930515951,,0.0963711884,0.3449555591,0.2075312931,0,2.0268636248,0,0.0980217239,0.2463956372,0.2729125687,2.6441935546
AR,Madison County,14243,2.6947283415,,0.0716792227,0.5516044525,0.3252904636,0,1.5581065209,0,0,0,0.1880476818,1.7461542027
AR,Marion County,16140,3.4560147264,,0.085208617,1.0785448907,0.2968710922,0,1.2511785067,0,0.1403002211,0.3526705774,0.2512408214,1.9953901265
AR,Miller County,40443,3.882534583,,0.1136002411,1.0145388653,0.2018901636,0,1.822481304,0,0.1534718963,0.3857799494,0.1907721632,2.552505313
AR,Mississippi County,51979,6.1294221669,,0.1717128153,2.052121273,0.3746392093,0,1.9891985943,0,0.3296020987,0.8285156274,0.383632549,3.5309488694
AR,Monroe County,10254,8.4219035469,,0.1516292424,0.1762912791,0.3299530431,0,4.0209588148,0,0.8306894065,2.0880911949,0.824290566,7.7640299823
AR,Montgomery County,9245,2.9547435411,,0.0617135561,0.2444146533,0.2886373388,0,1.7618136088,0,0.0464499242,0.1167606478,0.434953812,2.359977993
AR,Nevada County,9955,4.4982289104,,0.0699164671,0.6643558652,0.2668693554,0,3.2329811186,0,0,0,0.2641061041,3.4970872227
AR,Newton County,8608,2.0151092345,,0.0766679227,0.1100487329,0.295948011,0,1.3000134712,0,0,0,0.2324310967,1.5324445679
AR,Ouachita County,28790,3.691301065,,0.1285015424,0.55574163,0.3117999919,1.0823328096,1.324001796,0,0.0482402496,0.1212608298,0.1194222157,1.6129250911
AR,Perry County,10209,1.845553104,,0.0462052894,0.0229848338,0.2082849295,0,1.366360641,0,0,0,0.2017174103,1.5680780513
AR,Phillips County,26445,4.6540834058,,0.141681073,0.3204338612,0.3641249823,1.6474358132,1.1533350818,0,0.1529791821,0.3845416156,0.4895517965,2.1804076761
AR,Pike County,11303,2.535548714,,0.1058287878,0.4544169895,0.3001577685,0,1.4678262168,0,0,0,0.2073189514,1.6751451682
AR,Poinsett County,25614,3.9719744779,,0.0852071044,0.6473837174,0.3429135202,0,2.0011722739,0,0.1004596187,0.2525238673,0.542314376,2.8964701359
AR,Polk County,20229,3.2644313916,,0.1542078123,0.6100630714,0.2728582723,0,1.3787871151,0,0.186721219,0.4693584263,0.1924354752,2.2273022356
AR,Pope County,54469,3.4075068097,,0.2347667037,0.7848654621,0.2408516133,0,1.6361845452,0,0.1069902989,0.2689398948,0.1349082917,2.1470230306
AR,Prairie County,9539,9.9670021395,,0.0749964632,0.2095490972,0.2715120725,0,4.9924566218,0,0.9729553539,2.4457029032,0.9998296276,9.4109445066
AR,Pulaski County,361474,3.5893316202,,0.4192446081,0.4520063464,0.3327703687,0.1366344432,1.7242520723,0,0.1025287609,0.2577249764,0.1641700443,2.2486758538
AR,Randolph County,18195,3.4199431547,,0.1490397247,1.3022597313,0.4004441905,0.0097558097,1.2253018032,0,0.020061287,0.0504277324,0.2626528759,1.5584436985
AR,St. Francis County,29329,5.6882896676,,0.1206155928,1.7518542728,0.2557299017,0.3033948982,2.7051999508,0,0.0549067752,0.1380183874,0.3585698886,3.256695002
